alligator|452|363|24|60
antelope|150|900|70|25
armadillo|75|30|48|12
asian elephant|300|5000|43|70
aye aye|40|2,7|32|23
bat|180|1|40|30
bear|330|450|56|35
bison|270|1300|35|20
bongo|250|220|71|18
buffalo|180|907|35|22
camel|350|690|64|50
cheetah|136|65|112|12
chicken|45|3|10|4
chimpanzee|170|70|40|60
cow|180|800|40|20
crane|140|10|40|30
deer|105|450|70|20
desert tortoise|36|7|0,5|60
donkey|130|258|24|30
duck|50|1,4|55|8
eagle|100|7|160|30
emu|190|60|40|20
falcon|40|1,2|322|18
ferret|50|2|25|10
flamingo|150|4|50|30
fox|83|11|48|11
frog|30|3|17|8
gibon|90|9|56|40
giraffe|600|1930|48|25
goat|80|77|17|15
hamster|28|0,9|6|3
heron|140|3|64|20
hippopotamus|500|4500|45|50
horse|163|550|64|30
human|180|83|29|80
hyena|89|86|60|25
iguana|183|8|35|20
jackal|105|11|32|15
jaguar|190|160|80|15
kangaroo|150|95|55|10
kiwi|45|3,3|19|12
koala|85|15|10|20
lemming|15|0,1|5|3
lemur|100|10|20|14
lion|250|249|56|15
llama|180|204|45|20
lobster|70|7|19|80
moose|210|720|32|16
mouse|15|0,2|12,8|5
newt|15|0,05|42|15
opossum|45|6|25|7
ostrich|270|130|74|70
parrot|100|4|24|80
penguin|110|35|65|30
pig|120|350|17|15
puma|200|105|45|15
quokka|54|4,5|32|10
rabbit|50|3|4|8
raccoon|71|9|24|16
rat|50|0,9|13|5
seal|500|3000|44|25
sheep|140|130|40|10
snake|540|150|32|30
sparrow|18|0,04|40|7
squirrel|30|1|25|8
swan|150|15|80|12
tiger|330|300|96|25
toucan|63|0,7|64|20
turkey|125|11|10|10
weasel|38|0,2|25|3
wolf|91|40|75|12
wolverine|87|31|48|15
wombat|120|35|40|26
yak|220|1000|40|20
zebra|275|405|40|30
